2025/07/24 17:29:47 [notice] 1#1: using the "epoll" event method
2025/07/24 17:29:47 [notice] 1#1: nginx/1.29.0
2025/07/24 17:29:47 [notice] 1#1: built by gcc 14.2.0 (Alpine 14.2.0) 
2025/07/24 17:29:47 [notice] 1#1: OS: Linux 6.10.14-linuxkit
2025/07/24 17:29:47 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 1048576:1048576
2025/07/24 17:29:47 [notice] 1#1: start worker processes
2025/07/24 17:29:47 [notice] 1#1: start worker process 30
2025/07/24 17:29:47 [notice] 1#1: start worker process 31
2025/07/24 17:29:47 [notice] 1#1: start worker process 32
2025/07/24 17:29:47 [notice] 1#1: start worker process 33
2025/07/24 17:29:47 [notice] 1#1: start worker process 34
2025/07/24 17:29:47 [notice] 1#1: start worker process 35
2025/07/24 17:29:47 [notice] 1#1: start worker process 36
2025/07/24 17:29:47 [notice] 1#1: start worker process 37
2025/07/24 17:29:47 [notice] 1#1: start worker process 38
2025/07/24 17:29:47 [notice] 1#1: start worker process 39
